country,year_month,formal_index,informal_index,uifpi_combined,item_count,coverage_note
Australia,2019-07,,100.0,100.0,2,restaurant-median index (1 restaurants this month)
Australia,2019-09,,57.1429,57.1429,1,restaurant-median index (1 restaurants this month)
Australia,2019-10,,63.5032,63.5032,3,restaurant-median index (2 restaurants this month)
Australia,2021-05,100.0,,100.0,95,restaurant-median index (1 restaurants this month)
Australia,2021-12,246.875,,246.875,48,restaurant-median index (1 restaurants this month)
Australia,2022-05,129.9038,,129.9038,72,restaurant-median index (2 restaurants this month)
Australia,2022-06,115.625,,115.625,16,restaurant-median index (1 restaurants this month)
Australia,2022-07,114.8198,,114.8198,158,restaurant-median index (2 restaurants this month)
Australia,2022-11,125.8223,,125.8223,106,restaurant-median index (2 restaurants this month)
Australia,2022-12,199.875,,199.875,102,restaurant-median index (1 restaurants this month)
Australia,2023-02,198.75,,198.75,208,restaurant-median index (1 restaurants this month)
Australia,2023-03,225.0,,225.0,126,restaurant-median index (1 restaurants this month)
Australia,2023-05,262.5,151.7254,240.3451,34,restaurant-median index (3 restaurants this month)
Australia,2023-06,242.5,,242.5,114,restaurant-median index (1 restaurants this month)
Australia,2023-07,181.1422,,181.1422,62,restaurant-median index (2 restaurants this month)
Australia,2023-08,198.75,,198.75,58,restaurant-median index (1 restaurants this month)
Australia,2023-10,93.75,,93.75,21,restaurant-median index (1 restaurants this month)
Australia,2024-03,211.25,,211.25,104,restaurant-median index (1 restaurants this month)
Australia,2024-04,225.0,,225.0,31,restaurant-median index (1 restaurants this month)
Australia,2024-05,130.0,,130.0,49,restaurant-median index (1 restaurants this month)
Australia,2024-08,110.0,,110.0,50,restaurant-median index (1 restaurants this month)
Australia,2024-09,175.0,,175.0,200,restaurant-median index (1 restaurants this month)
Australia,2025-11,,68.0553,68.0553,1,restaurant-median index (1 restaurants this month)
Australia,2026-06,62.7559,21.8246,54.5696,300,restaurant-median index (4 restaurants this month)
Australia,2026-07,62.1645,21.9762,54.1268,300,restaurant-median index (4 restaurants this month)
India,2018-01,100.0,,100.0,2,restaurant-median index (2 restaurants this month)
India,2018-03,350.0,,350.0,1,restaurant-median index (1 restaurants this month)
India,2018-08,310.7233,,310.7233,3,restaurant-median index (3 restaurants this month)
India,2018-10,223.6068,,223.6068,2,restaurant-median index (2 restaurants this month)
India,2018-11,600.0,,600.0,1,restaurant-median index (1 restaurants this month)
India,2019-01,800.0,,800.0,4,restaurant-median index (4 restaurants this month)
India,2019-05,1500.0,,1500.0,1,restaurant-median index (1 restaurants this month)
India,2019-11,1000.0,,1000.0,4,restaurant-median index (4 restaurants this month)
India,2020-01,225.0,,225.0,1,restaurant-median index (1 restaurants this month)
India,2020-03,250.0,,250.0,1,restaurant-median index (1 restaurants this month)
India,2020-08,350.0,,350.0,1,restaurant-median index (1 restaurants this month)
India,2020-11,150.0,,150.0,1,restaurant-median index (1 restaurants this month)
India,2020-12,271.6616,,271.6616,300,restaurant-median index (2 restaurants this month)
India,2021-01,350.0,,350.0,1,restaurant-median index (1 restaurants this month)
India,2021-05,150.0,,150.0,2,restaurant-median index (2 restaurants this month)
India,2021-07,500.0,,500.0,1,restaurant-median index (1 restaurants this month)
India,2021-09,335.4102,,335.4102,2,restaurant-median index (2 restaurants this month)
India,2021-11,707.1068,,707.1068,2,restaurant-median index (2 restaurants this month)
India,2021-12,1000.0,,1000.0,1,restaurant-median index (1 restaurants this month)
India,2022-01,250.0,,250.0,3,restaurant-median index (2 restaurants this month)
India,2022-03,1000.0,,1000.0,1,restaurant-median index (1 restaurants this month)
India,2022-04,173.2051,,173.2051,2,restaurant-median index (2 restaurants this month)
India,2022-05,75.0,,75.0,77,restaurant-median index (1 restaurants this month)
India,2022-10,193.6492,,193.6492,3,restaurant-median index (2 restaurants this month)
India,2023-01,250.0,,250.0,1,restaurant-median index (1 restaurants this month)
India,2023-02,500.0,,500.0,1,restaurant-median index (1 restaurants this month)
India,2023-03,100.0,,100.0,1,restaurant-median index (1 restaurants this month)
India,2023-04,950.0,,950.0,1,restaurant-median index (1 restaurants this month)
India,2023-05,40.2,,40.2,88,restaurant-median index (1 restaurants this month)
India,2023-08,774.5967,,774.5967,2,restaurant-median index (2 restaurants this month)
India,2023-09,1250.0,,1250.0,1,restaurant-median index (1 restaurants this month)
India,2023-12,1000.0,,1000.0,2,restaurant-median index (2 restaurants this month)
India,2024-01,540.8327,,540.8327,2,restaurant-median index (2 restaurants this month)
India,2024-03,600.0,,600.0,1,restaurant-median index (1 restaurants this month)
India,2024-04,900.0,,900.0,1,restaurant-median index (1 restaurants this month)
